"species","Locality","Latitude","Longitude","Belt","period","daily_survival_rate","daily_predation_rate","DPRtrans","DPR_assumption","Incubation_days","source_id","predated","hatched","infertile","other_failed","Failed_together","N.nests","obs_time","Exposure_days","years","mean_year","years_nr","References.and.notes","DPR","TPR","K_incl","TPR_k","DPR_k"
"Charadrius_montanus","north-central Montana",47.8,-108.017,"North temperate","before",NA,NA,"NO","Fail_is_depr",31.5,"50",255,177,NA,NA,255,432,0.5,5542,"1995-2000",1997.5,6,"Dinsmore et al. 2002",0.046,0.773223602364198,1,0.580814682,0.0272
"Chionis_albus","King George Island, Nelson Island",-62.168,-58.693,"South temperate","before",NA,NA,"YES","Fail_is_depr",32,"57",0,29,NA,NA,0,29,0.5,464,"1989-1991",1990,3,"Favero 1993",0,0,1,0.27095567,0.0098
"Calidris_alpina","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",25,"58",5,30,NA,NA,5,35,0.5,406.25,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0123,0.266260692239514,1,0.227199417,0.0103
"Calidris_himantopus","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",24,"58",5,24,NA,NA,5,29,0.5,318,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0157,0.316382421697177,1,0.271336876,0.0131
"Calidris_melanotos","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",26,"58",20,103,NA,NA,20,123,0.5,1469,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0136,0.299817371551499,1,0.26,0.0114
"Calidris_pusilla","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",23.5,"58",24,155,NA,NA,24,179,0.5,1962.25,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0122,0.251135592205205,1,0.213961858,0.0102
"Limnodromus_scolopaceus","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",24.25,"58",3,14,NA,NA,3,17,0.5,187.9375,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.016,0.323091802216968,1,0.277288664,0.0133
"Phalaropus_fulicarius","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",22.8,"58",7,49,NA,NA,7,56,0.5,598.5,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0117,0.235274542011716,1,0.20013496,0.0097
"Pluvialis_dominica","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",32.25,"58",9,15,NA,NA,9,24,0.5,314.4375,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0286,0.608020188338939,1,0.540930286,0.0239
"Pluvialis_squatarola","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",31.75,"58",6,19,NA,NA,6,25,0.5,349.25,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0172,0.423162264662004,1,0.367345343,0.0143
"Tryngites_subruficollis","Kuparuk Oilfield, North Slope, Alaska",70.38,-149.534,"Arctic","before",NA,NA,"YES","Fail_is_depr",27,"58",6,20,NA,NA,6,26,0.5,310.5,"1989-1992",1990.5,4,"Moitoret et al. 1996",0.0193,0.409535630103634,1,0.354881536,0.0161
"Burhinus_oedicnemus","Salisbury plain, Wessex",51.195,-1.903,"North temperate","after",0.9582,NA,"YES",NA,27,"85",50,60,NA,12,62,122,0.6,1377,"2004-2005",2004.5,2,"Taylor 2006",0.0363,0.631617890581156,1,0.606093168,0.0339
"Pluvianellus_socialis","Santa Cruz Province",-51.23,-69.494,"South temperate","after",0.975,NA,"YES",NA,27,"88",4,12,0,1,5,17,0.5,195.75,"2006-2007",2006.5,1,"Lishman & Nol 2012",0.0204,0.427326283608495,1,0.342318768,0.0154
"Haematopus_bachmani","Beardslee Islands, Alaska",58.508,-135.93,"North temperate","after",NA,NA,"YES",NA,28.5,"89",18,29,4,59,81,110,0.5,1018.875,"2004-2005",2004.5,2,"Tessler & Garding 2006",0.0177,0.398300489703058,1,0.401342219,0.0178
"Haematopus_palliatus","Cumberland Island, Georgia",30.865,-81.45,"North temperate","after",NA,NA,"YES",NA,28.75,"90",13,12,NA,5,18,30,0.5,287.5,"2003-2004",2003.5,2,"Sabine at al. 2005",0.0452,0.735604311937584,1,0.59769756,0.0312
"Haematopus_palliatus","São Paulo coast",-24.859,-47.726,"South tropics","after",NA,NA,"YES",NA,28.75,"91",1,13,NA,8,9,22,0.6,301.875,"2005-2008",2006.5,4,"Barbieri & Delchiaro 2009",0.0033,0.0909872774777676,1,0.581123821,0.0298
"Haematopus_moquini","Robben Island, 7 km from the coast",-33.806,18.369,"South temperate","after",NA,NA,"YES",NA,28,"92",14,43,NA,NA,14,57,0.5,700,"2001-2002",2001.5,1,"Calf and Underhill 2002",0.02,0.432023824049941,1,0.319651765,0.0137
"Haematopus_moquini","De Hoop Nature Reserve",-34.46,20.552,"South temperate","before",NA,NA,"YES",NA,28,"93",1,38,NA,21,22,60,0.5,686,"1984-1989",1986.5,6,"Scott et al. 2011",0.0015,0.0400231457647068,1,0,0
"Anarhynchus_frontalis","Rakaia and Ashey river",-43.545,172.186,"South temperate","before",NA,NA,"YES",NA,32,"94",7,27,0,22,29,56,0.6,796.8,"1982-1983",1982.5,2,"Hughey 1985",0.0088,0.246002809697862,1,0.236108467,0.0084
"Charadrius_bicinctus","Rakaia and Ashey river",-43.545,172.186,"South temperate","before",NA,NA,"YES",NA,31,"94",21,64,0,38,59,123,0.6,1739.1,"1982-1983",1982.5,2,"Hughey 1985",0.0121,0.313816351103286,1,0.303069073,0.0116
"Himantopus_himantopus","Rakaia and Ashey river",-43.545,172.186,"South temperate","before",NA,NA,"YES",NA,27.75,"94",1,4,0,8,9,13,0.6,141.525,"1982-1983",1982.5,2,"Hughey 1985",0.0071,0.178624123137058,1,0.178624123,0.0071
"Haematopus_ostralegus","Konskyi islansd, Black Sea reserve",46.391,32.033,"North temperate","before",NA,NA,"YES",NA,28.5,"96",26,64,NA,NA,26,90,0.5,1097.25,"1984-1991",1987.5,7,"Rudenko 1998",0.0237,0.495130082352893,1,0.43356964,0.0197
"Calidris_alpina","South Uist, Hebrides",57.338,-7.385,"North temperate","before",0.945125,NA,"NO",NA,25,"97",101,116,0,5,106,222,0.5,2379,"1985-1997",1991,13,"Jackson & Green 2000",0.0425,0.6619492197629,1,0.66194922,0.0425
"Charadrius_hiaticula","South Uist, Hebrides",57.338,-7.385,"North temperate","before",0.939475,NA,"NO",NA,28,"97",113,61,0,9,122,183,0.5,2259,"1985-1997",1991,13,"Jackson & Green 2000",0.05,0.762328215014878,1,0.770133466,0.0512
"Haematopus_ostralegus","South Uist, Hebrides",57.338,-7.385,"North temperate","before",0.98405,NA,"NO",NA,28.5,"97",16,64,0,3,19,83,0.5,1422,"1995-1997",1996,3,"Jackson & Green 2000",0.0113,0.275658876705599,1,0.275658877,0.0113
"Tringa_totanus","South Uist, Hebrides",57.338,-7.385,"North temperate","before",0.922675,NA,"NO",NA,27.75,"97",30,39,0,0,30,69,0.5,903,"1985-1997",1991,13,"Jackson & Green 2000",0.0332,0.608429296241385,1,0.482466886,0.0235
"Vanellus_vanellus","South Uist, Hebrides",57.338,-7.385,"North temperate","before",0.9615,NA,"NO",NA,31,"97",60,99,0,10,70,169,0.5,1815,"1995-1997",1996,3,"Jackson & Green 2000",0.0331,0.647292061701785,1,0.647292062,0.0331
"Haematopus_ostralegus","south part of Oländ",56.264,16.445,"North temperate","after",0.879,NA,"NO",NA,28.5,"98",22,1,NA,NA,22,23,0.5,182,"2004-2004",2004,1,"Ottvall 2005",0.1209,0.974567740392658,1,0.97456774,0.1209
"Tringa_totanus","south part of Oländ",56.264,16.445,"North temperate","after",0.921,NA,"NO",NA,27.75,"98",27,7,NA,4,31,38,0.5,366.5,"2004-2004",2004,1,"Ottvall 2005",0.0737,0.880394558092362,1,0.880394558,0.0737
"Vanellus_vanellus","south part of Oländ",56.264,16.445,"North temperate","after",0.949,NA,"NO",NA,31,"98",44,27,NA,NA,44,71,0.5,866,"2004-2004",2004,1,"Ottvall 2005",0.0508,0.801403453886683,1,0.801403454,0.0508
"Haematopus_fuliginosus","Furneaux Island Group, Tasmania",-40.094,148.088,"South temperate","before",NA,NA,"YES","Fail_is_depr",28,"99",26,38,NA,NA,26,64,0.6,856.8,"1988-1989",1988.5,2,"Lauro & Nol 1995",0.0303,0.578034600360962,1,0.570865891,0.0298
"Haematopus_longirostris","Furneaux Island Group, Tasmania",-40.094,148.088,"South temperate","before",NA,NA,"YES","Fail_is_depr",28,"99",15,21,NA,NA,15,36,0.6,478.8,"1988-1989",1988.5,2,"Lauro & Nol 1995",0.0313,0.589847963851803,1,0.435512725,0.0202
"Haematopus_unicolor","Long Bay Regional Park, Auckland",-36.676,174.746,"South temperate","after",NA,NA,"YES","Fail_is_depr",28,"100",3,14,NA,NA,3,17,0.5,217,"2006-2012",2009,7,"Michaux 2013",0.0138,0.322805993056599,1,0.199972159,0.0079
"Himantopus_himantopus","Doñana + Odiel, Southern Spain",36.95,-6.233,"North temperate","before",0.96775,NA,"NO","Fail_is_depr",27.75,"102",94,139,NA,0,94,233,0.6,3049,"1990-1991",1990.5,2,"Cuervo 2005",0.0308,0.580625819710568,1,0.43453087,0.0203
"Recurvirostra_avosetta","Doñana, Southern Spain",36.95,-6.233,"North temperate","before",0.9715,NA,"NO","Fail_is_depr",27.7,"102",57,107,NA,0,57,164,0.6,2147.5,"1990-1991",1990.5,2,"Cuervo 2005",0.0265,0.52534191481769,1,0.346859923,0.0153
"Himantopus_novaezelandiae","Cass river Valley + surrounding",-43.862,170.45,"South temperate","before",NA,NA,"NO","Fail_is_depr",27.5,"103",68,-18,NA,0,68,50,0.6,1679.5,"1977-1979",1978,3,"Pierce 1986",0.0405,0.679089966438435,1,0.656337572,0.0381
"Recurvirostra_americana","San Francisco Bay, California",37.433,-121.967,"North temperate","after",NA,NA,"YES",NA,28.1,"104",56,22,5,15,76,98,0.6,927.3,"2006-2007",2006.5,2,"Herring et al. 2011",0.0604,0.826290542307683,1,0.807068756,0.0569
"Vanellus_vanellus","Dalwhinnie and Kingussie, Scotland",57.009,-4.164,"North temperate","before",0.96,NA,"NO","Fail_is_depr",31,"106",154,90,NA,0,154,244,0.6,4324,"1984-1986",1985,3,"Galbraith 1988",0.0356,0.675091210246624,1,0.661831426,0.0344
"Vanellus_vanellus","Eden Valley and Upper Teesdale",54.575,-2.411,"North temperate","before",NA,NA,"YES",NA,31,"107",343,375,NA,NA,343,718,0.6,10164.9,"1985-1987",1986,3,"Baines 1990",0.0337,0.654964066892775,1,0.50516247,0.0224
"Vanellus_vanellus","Västerfärnebo (""near"" Stockholm)",59.95,16.283,"North temperate","before",0.9702,NA,"NO",NA,31,"108",62.886,428.906,NA,378.208,441.094,870,0.5,12746,"1988-1990",1989,3,"Berg et al. 1992",0.0049,0.142149834958663,1,0.140711303,0.0049
"Vanellus_vanellus","near Gothenburg",57.592,11.976,"North temperate","before",NA,NA,"YES",NA,31,"109",34,148,NA,29,63,211,0.5,2735.75,"1987-1990",1988.5,4,"Blomqvist & Johansson 1995",0.0124,0.321372710869877,1,0.155410733,0.0054
"Tringa_totanus","Varberg, South-West Sweeden",57.126,12.237,"North temperate","before",NA,NA,"YES",NA,27.75,"110",5,30,NA,4,9,39,0.5,457.875,"1986-1987",1986.5,2,"Flodin et al. 1995",0.0109,0.262653239531643,1,0.201932332,0.0081
"Vanellus_vanellus","Varberg, South-West Sweeden",57.126,12.237,"North temperate","before",NA,NA,"YES",NA,31,"110",16,38,NA,8,24,62,0.5,759.5,"1986-1987",1986.5,2,"Flodin et al. 1995",0.0211,0.483168429630953,1,0.355368051,0.0141
"Vanellus_vanellus","Emley marshes, England",51.385,0.805,"North temperate","before",NA,NA,"YES",NA,31,"111",39,44,0,3,42,86,0.5,1007.5,"1997-1997",1997,1,"Hart et al. 2002",0.0387,0.705902266550918,1,0.543344519,0.025
"Vanellus_vanellus","Holýšov surroundings, West Bohemia",49.589,13.069,"North temperate","before",NA,NA,"YES",NA,31,"112",15,12,0,8,23,35,0.6,409.2,"1992-2001",1996.5,10,"Schröpfer 2002",0.0367,0.685796627661923,1,0.747837679,0.0435
"Vanellus_vanellus","Stollhammer Wisch, Northern Lower Saxony",53.523,8.398,"North temperate","after",NA,0.02272,"YES","Fail_is_depr",31,"115",145,100,NA,NA,145,245,0.5,2673.75,"2001-2005",2003,5,"Junker et al. 2006",0.0227,0.509556094381054,1,0.526886362,0.0239
"Vanellus_vanellus","Flintshire, North Wales",53.184,-3.114,"North temperate","after",0.967,0.027,"YES",NA,31,"116",135,106,NA,35,170,276,0.6,3441,"2003-2004",2003.5,2,"Sharpe 2006",0.027,0.571946504052769,1,0.571946504,0.027
"Vanellus_vanellus","Lustenau, Austrian Rhine Valley",47.444,9.698,"North temperate","after",NA,NA,"YES",NA,31,"118",93,26,NA,17,110,136,0.6,1506.6,"2007-2008",2007.5,2,"Puchta et al. 2009",0.0617,0.861265084026428,1,0.890444077,0.0688
"Vanellus_spinosus","Evros Delta",40.794,26.072,"North temperate","after",NA,NA,"YES",NA,28,"120",0,19,0,20,20,39,0.6,487.2,"2003-2003",2003,1,"Makrigianni et al. 2008",0,0,1,0.108793487,0.0041
"Vanellus_coronatus","Harare(Salisbury)",-17.799,31.021,"South tropics","before",NA,NA,"YES",NA,32,"121",1,23,NA,1,2,25,0.9,676.8,"1977-1977",1977,1,"Ade 1979",0.0015,0.0462143214478051,1,0,0
"Vanellus_cinereus","Kaga city, Ishikawa prefecture",36.293,136.311,"North temperate","after",NA,NA,"YES",NA,30.5,"122",4,33,NA,40,44,77,0.6,1006.5,"2004-2005",2004.5,2,"Takahashi & Ohkawara 2007",0.004,0.114367871917565,1,0.371558453,0.0151
"Vanellus_gregarius","Korgalzhyn",50.583,70.017,"North temperate","after",0.943,NA,"NO, YES","Fail_is_depr, NA",28,"126, 127",346,492,0,172,518,1010,0.6,12939.8,"2004-2014",2008.95,10,"Sheldon et al. 2013, Sheldon and Donald in litt., Watson et al. 2006",0.0267,0.531814035491564,1,0.513817771,0.0254
"Vanellus_gregarius","Pavlodar",53.173,76.047,"North temperate","after",NA,NA,"NO",NA,28,"127",67,43,NA,28,95,138,0.6,1572,"2007-2007",2007,1,"Sheldon et al. 2013, Sheldon and Donald in litt.",0.0426,0.704640577400257,1,0.712441357,0.0435
"Vanellus_chilensis","Curitiba, Paraná (CITY!)",-25.45,-49.217,"South tropics","after",NA,NA,"YES",NA,32,"128",0,30,NA,NA,0,30,0.9,864,"2012-2012",2012,1,"Cerboncini et al. 2015, Ricardo Augusto Cerboncini in litt.",0,0,1,0,0
"Vanellus_chilensis","Brasília",-15.815,-47.879,"South tropics","after",0.97653,0.023474,"NO",NA,32,"129",9,22,NA,4,13,35,0.5,639,"2007-2007",2007,1,"Santos in litt., Santos & Macedo 2017",0.0141,0.364859039536519,1,0.531256738,0.0234
"Eudromias_morinellus","Hardangervidda ",60.383,7.633,"Arctic","before",NA,NA,"NO",NA,29,"130",16,37,NA,NA,16,53,0.9,630.5,"1977-1985",1981,9,"Byrkjedal 1987",0.0254,0.525466264050326,1,0.525466264,0.0254
"Pluvialis_apricaria","Hardangervidda ",60.383,7.633,"Arctic","before",NA,NA,"NO",NA,34.5,"130",27,24,NA,NA,27,51,0.9,492,"1977-1985",1981,9,"Byrkjedal 1987",0.0549,0.857330601832926,1,0.857330602,0.0549
"Calidris_alpina","Medusa Bay, Taimyr",73.079,80.654,"Arctic","after",0.921,NA,"NO",NA,25,"131",6,21,NA,NA,6,27,0.6,797,"2000-2002",2001,3,"Schekkerman et al. 2004",0.0075,0.172145426228298,1,0.319292766,0.0153
"Calidris_ferruginea","Medusa Bay, Taimyr",73.079,80.654,"Arctic","after",0.849,NA,"NO",NA,24.7,"131",3,9,NA,NA,3,12,0.6,303,"2000-2002",2001,3,"Schekkerman et al. 2004",0.0099,0.217900393160539,1,0.38486733,0.0195
"Calidris_minuta","Medusa Bay, Taimyr",73.079,80.654,"Arctic","after",0.886333333333333,NA,"NO",NA,24.5,"131",28,91,NA,7,35,126,0.6,2506,"2000-2002",2001,3,"Schekkerman et al. 2004",0.0112,0.240643408990951,1,0.383140654,0.0195
"Pluvialis_fulva","Medusa Bay, Taimyr",73.079,80.654,"Arctic","after",0.934333333333333,NA,"NO",NA,33.25,"131",9,14,NA,NA,9,23,0.6,854,"2000-2002",2001,3,"Schekkerman et al. 2004",0.0105,0.296909269656329,1,0.552193827,0.0239
"Arenaria_interpres","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES",NA,25.9,"133",4,43,NA,1,5,48,0.5,589.225,"1972-1980",1976,9,"Kondrjatev 1982",0.0068,0.16173725434579,1,0.138063326,0.0057
"Calidris_alpina","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES",NA,25,"133",16,30,NA,5,21,51,0.5,506.25,"1972-1980",1976,9,"Kondrjatev 1982",0.0316,0.551962719042892,1,0.509235967,0.0281
"Calidris_mauri","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES",NA,25,"133",8,12,NA,NA,8,20,0.5,200,"1972-1974",1973,3,"Kondrjatev 1982",0.04,0.639603283141982,1,0.571531815,0.0333
"Calidris_melanotos","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES",NA,26,"133",8,15,NA,NA,8,23,0.5,247,"1972-1980",1976,9,"Kondrjatev 1982",0.0324,0.575160743715472,1,0.509042979,0.027
"Calidris_temminckii","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES",NA,24.8,"133",5,11,NA,2,7,18,0.5,179.8,"1972-1980",1976,9,"Kondrjatev 1982",0.0278,0.503129543933575,1,0.464790009,0.0249
"Charadrius_hiaticula","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES",NA,28,"133",6,13,NA,NA,6,19,0.5,224,"1972-1980",1976,9,"Kondrjatev 1982",0.0268,0.53244004563575,1,0.468515379,0.0223
"Eurynorhynchus_pygmeus","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES",NA,23,"133",7,9,NA,NA,7,16,0.5,143.75,"1972-1974",1973,3,"Kondrjatev 1982",0.0487,0.682789117763636,1,0.614339935,0.0406
